Batch Number,Plant Date,Class,Fresh_weight,Head_weight,Radia_Diameter,Polar_diameter,diameter_ratio,no_of_days,Density,Leaf_area,Square_ID,Check_Date,Day_to_check,Humidity,Temperature
402,4/11/2020,4,696,282,122,95,1.284210526,35,0.380896708,480,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,4,604,267,115,100,1.15,35,0.385582183,462,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,4,689,320,128,108,1.185185185,35,0.345388331,485,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,3,596,289,120,100,1.2,35,0.383298155,453,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,5,636,294,124,96,1.291666667,35,0.380394391,431,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,5,722,399,128,110,1.163636364,35,0.422825965,616,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,2,815,400,122,122,1,35,0.420709072,634,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,5,688,372,128,100,1.28,35,0.43363505,604,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,3,699,319,128,105,1.219047619,35,0.354146393,592,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,4,820,415,132,105,1.257142857,35,0.433223805,658,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,5,946,475,138,108,1.277777778,35,0.441075626,742,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,2,950,450,138,120,1.15,35,0.376075007,750,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,2,884,437,135,100,1.35,35,0.457947063,720,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,1,767,392,125,110,1.136363636,35,0.435586823,675,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,4,868,446,128,108,1.185185185,35,0.481384987,721,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,3,960,509,145,120,1.208333333,35,0.385302573,823,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,5,1138,597,140,115,1.217391304,35,0.50585005,811,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,2,992,534,141,110,1.281818182,35,0.466349724,799,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,1,938,488,136,124,1.096774194,35,0.406370055,818,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,5,926,544,130,115,1.130434783,35,0.534583724,809,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,5,1280,665,165,115,1.434782609,35,0.40565543,966,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,3,985,630,144,106,1.358490566,35,0.547407921,914,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,3,977,585,145,106,1.367924528,35,0.501320396,914,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,5,979,546,135,104,1.298076923,35,0.550165235,986,529,6/4/2020,5/16/2020,64.24,14.75
402,4/11/2020,5,1210,638,150,114,1.315789474,35,0.47504493,977,529,6/4/2020,5/16/2020,64.24,14.75
408,4/15/2020,5,330,79,85,81,1.049382716,31,0.257813467,415,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,4,424,60,75,70,1.071428571,31,0.291026182,343,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,1,359,115,91,87,1.045977011,31,0.304857708,347,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,1,245,44,71,70,1.014285714,31,0.238143821,375,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,2,293,49,70,65,1.076923077,31,0.29382451,394,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,4,591,186,105,88,1.193181818,31,0.366144953,528,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,5,510,135,98,94,1.042553191,31,0.285597986,442,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,3,551,234,111,87,1.275862069,31,0.416919324,477,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,3,495,177,110,85,1.294117647,31,0.328677782,485,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,4,523,237,116,91,1.274725275,31,0.369651398,451,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,2,607,248,115,91,1.263736264,31,0.393564561,540,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,4,567,288,122,86,1.418604651,31,0.429710289,588,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,1,631,158,105,96,1.09375,31,0.285107494,548,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,4,592,177,107,90,1.188888889,31,0.328068535,560,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,5,596,183,120,100,1.2,31,0.242711288,599,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,5,649,232,112,91,1.230769231,31,0.388161024,627,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,4,748,341,128,98,1.306122449,31,0.405611016,691,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,1,668,274,120,95,1.263157895,31,0.382530302,650,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,4,642,231,110,96,1.145833333,31,0.379801569,672,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,1,647,242,116,91,1.274725275,31,0.377449951,613,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,1,720,268,120,100,1.2,31,0.35544604,733,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,2,645,250,116,92,1.260869565,31,0.385689291,709,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,5,737,360,125,105,1.19047619,31,0.419077702,709,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,3,727,332,125,92,1.358695652,31,0.441094465,712,1471,6/4/2020,5/16/2020,66.29,8.82
408,4/15/2020,3,678,305,120,105,1.142857143,31,0.385256013,709,1471,6/4/2020,5/16/2020,66.29,8.82
409,4/16/2020,4,234,90,80,75,1.066666667,30,0.358098622,347,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,4,432,157,100,85,1.176470588,30,0.35276225,326,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,4,512,123,90,90,1,30,0.322239638,400,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,1,565,249,125,95,1.315789474,30,0.320373874,529,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,5,631,215,115,90,1.277777778,30,0.34498614,526,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,2,657,137,110,95,1.157894737,30,0.227621337,509,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,3,700,225,110,100,1.1,30,0.355139129,528,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,3,689,156,110,100,1.1,30,0.246229796,519,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,3,689,218,120,90,1.333333333,30,0.3212572,602,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,1,699,250,125,120,1.041666667,30,0.254647909,598,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,1,605,280,120,100,1.2,30,0.371361534,592,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,5,697,291,125,95,1.315789474,30,0.374412841,628,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,5,679,206,110,100,1.1,30,0.325149603,568,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,5,819,169,130,110,1.181818182,30,0.173623574,691,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,1,828,204,125,110,1.136363636,30,0.226682939,686,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,5,854,248,140,110,1.272727273,30,0.219686972,648,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,4,745,204,110,110,1,30,0.292720737,647,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,1,747,290,125,100,1.25,30,0.354469889,683,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,3,868,297,130,120,1.083333333,30,0.279698332,760,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,1,928,352,120,120,1,30,0.389045416,754,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,2,799,315,135,110,1.227272727,30,0.300090128,755,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,1,903,407,135,120,1.125,30,0.355424208,774,1732,6/4/2020,5/16/2020,67.34,10.91
409,4/16/2020,1,842,296,130,105,1.238095238,30,0.318578956,755,1732,6/4/2020,5/16/2020,67.34,10.91
408,4/15/2020,2,866,372,148,110,1.345454545,31,0.294868379,514,1378,6/8/2020,5/16/2020,66.29,8.82
408,4/15/2020,5,753,185,110,103,1.067961165,31,0.283498334,531,1378,6/8/2020,5/16/2020,66.29,8.82
408,4/15/2020,2,648,172,105,100,1.05,31,0.297955376,454,1378,6/8/2020,5/16/2020,66.29,8.82
408,4/15/2020,5,761,405,145,95,1.526315789,31,0.387254784,583,1378,6/8/2020,5/16/2020,66.29,8.82
408,4/15/2020,1,795,316,135,100,1.35,31,0.331147075,567,1378,6/8/2020,5/16/2020,66.29,8.82
408,4/15/2020,5,629,338,140,100,1.4,31,0.32935329,571,1378,6/8/2020,5/16/2020,66.29,8.82
408,4/15/2020,2,874,396,139,110,1.263636364,31,0.355855988,658,1378,6/8/2020,5/16/2020,66.29,8.82
408,4/15/2020,4,830,369,141,105,1.342857143,31,0.337598275,631,1378,6/8/2020,5/16/2020,66.29,8.82
408,4/15/2020,4,852,410,145,110,1.318181818,31,0.338576292,633,1378,6/8/2020,5/16/2020,66.29,8.82
408,4/15/2020,5,1000,362,150,115,1.304347826,31,0.267195777,763,1378,6/8/2020,5/16/2020,66.29,8.82
408,4/15/2020,3,998,451,155,100,1.55,31,0.358520937,727,1378,6/8/2020,5/16/2020,66.29,8.82
408,4/15/2020,5,1074,461,145,105,1.380952381,31,0.398820065,727,1378,6/8/2020,5/16/2020,66.29,8.82
517,6/5/2020,2,327,28,73,66,1.106060606,17,0.152044163,533,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,2,359,35,73,78,0.935897436,17,0.160815942,544,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,2,302,21,60,78,0.769230769,17,0.142831359,549,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,1,310,25,85,58,1.465517241,17,0.113939823,634,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,4,342,22,58,75,0.773333333,17,0.166535493,538,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,1,333,24,55,68,0.808823529,17,0.222832395,452,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,1,406,29,60,65,0.923076923,17,0.236691967,494,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,2,260,28,63,56,1.125,17,0.240597042,518,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,5,258,17,50,47,1.063829787,17,0.276320071,505,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,5,319,25,64,74,0.864864865,17,0.157525084,488,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,4,246,16,40,70,0.571428571,17,0.272837045,383,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,5,239,18,50,80,0.625,17,0.171887339,414,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,3,330,22,50,70,0.714285714,17,0.2400966,447,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,3,277,12,30,50,0.6,17,0.509295818,387,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,4,253,18,50,60,0.833333333,17,0.229183118,428,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,2,269,22,50,70,0.714285714,17,0.2400966,355,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,2,298,12,50,60,0.833333333,17,0.152788745,353,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,1,243,11,40,52,0.769230769,17,0.252505439,378,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,4,242,10,50,48,1.041666667,17,0.159154943,311,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,3,183,11,48,60,0.8,17,0.151970866,330,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,5,178,6,34,40,0.85,17,0.247819116,294,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,2,173,5,20,30,0.666666667,17,0.795774715,289,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,3,191,7,28,42,0.666666667,17,0.406007508,269,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,4,137,9,40,50,0.8,17,0.214859173,290,481,7/8/2020,6/22/2020,80.76,10.55
517,6/5/2020,4,211,8,34,42,0.80952381,17,0.31469094,261,481,7/8/2020,6/22/2020,80.76,10.55
510,6/3/2020,1,600,110,110,130,0.846153846,19,0.133556596,774,1132,7/8/2020,6/22/2020,82.47,13.76
510,6/3/2020,1,569,147,135,133,1.015037594,19,0.11582426,743,1132,7/8/2020,6/22/2020,82.47,13.76
510,6/3/2020,5,619,81,110,125,0.88,19,0.102280069,798,1132,7/8/2020,6/22/2020,82.47,13.76
510,6/3/2020,3,615,159,130,128,1.015625,19,0.140378898,770,1132,7/8/2020,6/22/2020,82.47,13.76
510,6/3/2020,3,640,148,125,145,0.862068966,19,0.124759913,726,1132,7/8/2020,6/22/2020,82.47,13.76
510,6/3/2020,2,600,154,120,140,0.857142857,19,0.145892031,700,1132,7/8/2020,6/22/2020,82.47,13.76
